epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,2871.89,0.69018,0.44841,0.95883,0.94118,0.94063,0.97012,0.77379,0.85704,0.46294,1.04677,0.000599551,0.000599551,0.000599551
95,2902.58,0.69113,0.44033,0.95689,0.93308,0.93785,0.96773,0.77558,0.82273,0.47554,1.01884,0.000594052,0.000594052,0.000594052
96,2933.26,0.69008,0.44975,0.95974,0.93312,0.92703,0.97025,0.77437,0.83867,0.46996,1.02437,0.000588552,0.000588552,0.000588552
97,2963.88,0.68771,0.44807,0.95988,0.96491,0.93006,0.97394,0.77813,0.82603,0.45199,1.01717,0.000583053,0.000583053,0.000583053
98,2994.44,0.67991,0.44032,0.95447,0.92484,0.95149,0.97353,0.77555,0.83484,0.45654,1.02195,0.000577553,0.000577553,0.000577553
99,3025.07,0.67155,0.43789,0.94983,0.94777,0.90423,0.96266,0.77031,0.85947,0.48397,1.04859,0.000572054,0.000572054,0.000572054
100,3055.75,0.66499,0.42279,0.94675,0.94973,0.93314,0.96707,0.78024,0.84226,0.46753,1.02161,0.000566554,0.000566554,0.000566554
101,3086.41,0.67202,0.43393,0.95377,0.94703,0.92674,0.96953,0.77492,0.83558,0.46065,1.02073,0.000561055,0.000561055,0.000561055
102,3117.04,0.67573,0.42832,0.94826,0.93939,0.94473,0.97036,0.77841,0.82816,0.45961,1.01021,0.000555556,0.000555556,0.000555556
103,3147.63,0.66355,0.42591,0.94503,0.93723,0.93716,0.96504,0.77489,0.84009,0.46348,1.01775,0.000550056,0.000550056,0.000550056
104,3178.29,0.67268,0.4362,0.95519,0.94328,0.9281,0.969,0.78084,0.82729,0.46048,1.02216,0.000544557,0.000544557,0.000544557
105,3208.91,0.66189,0.42231,0.9496,0.96074,0.92516,0.96864,0.78063,0.82249,0.45276,1.0078,0.000539057,0.000539057,0.000539057
106,3239.62,0.67177,0.43112,0.95431,0.93647,0.92991,0.96543,0.77592,0.84782,0.46235,1.03466,0.000533558,0.000533558,0.000533558
107,3270.36,0.65739,0.41461,0.94261,0.93739,0.94866,0.97152,0.78199,0.83496,0.44144,1.0238,0.000528058,0.000528058,0.000528058
108,3301.09,0.65529,0.42151,0.94011,0.93766,0.93595,0.96765,0.77944,0.83239,0.45864,1.01625,0.000522559,0.000522559,0.000522559
109,3331.69,0.66385,0.42524,0.94971,0.94967,0.94273,0.97252,0.78272,0.82602,0.44156,1.01088,0.000517059,0.000517059,0.000517059
110,3362.45,0.65666,0.42332,0.94254,0.94895,0.94031,0.97214,0.78825,0.82831,0.43555,1.01163,0.00051156,0.00051156,0.00051156
111,3393.17,0.65406,0.41609,0.94097,0.95957,0.93331,0.97179,0.78504,0.81849,0.42561,1.0082,0.00050606,0.00050606,0.00050606
112,3423.88,0.65292,0.41063,0.93954,0.95972,0.93632,0.9731,0.78716,0.8237,0.43192,1.00539,0.000500561,0.000500561,0.000500561
113,3454.39,0.63714,0.41154,0.93077,0.97018,0.94648,0.97647,0.78217,0.83724,0.42791,1.01836,0.000495062,0.000495062,0.000495062
114,3485,0.65044,0.41873,0.94499,0.95557,0.95476,0.97778,0.78542,0.82076,0.42658,1.01413,0.000489562,0.000489562,0.000489562
115,3515.61,0.65287,0.41564,0.94586,0.94016,0.95519,0.97423,0.78491,0.82406,0.42353,1.01622,0.000484063,0.000484063,0.000484063
116,3546.2,0.64127,0.4115,0.94072,0.94745,0.93024,0.96901,0.7848,0.82179,0.45288,1.01108,0.000478563,0.000478563,0.000478563
117,3576.76,0.63521,0.39776,0.93599,0.94344,0.95278,0.97445,0.78779,0.80967,0.44441,1.00629,0.000473064,0.000473064,0.000473064
118,3607.33,0.63862,0.41381,0.93881,0.94467,0.9579,0.97464,0.7839,0.81413,0.4247,1.00828,0.000467564,0.000467564,0.000467564
119,3637.94,0.63554,0.40847,0.94175,0.93711,0.9548,0.97195,0.78512,0.81744,0.43238,1.00968,0.000462065,0.000462065,0.000462065
120,3668.54,0.63553,0.40587,0.93433,0.94605,0.95568,0.96945,0.78092,0.82852,0.42975,1.02249,0.000456565,0.000456565,0.000456565
121,3698.98,0.63858,0.40143,0.93598,0.93923,0.95938,0.9716,0.78554,0.82334,0.43895,1.01891,0.000451066,0.000451066,0.000451066
122,3729.53,0.62385,0.4017,0.93241,0.9439,0.95635,0.97638,0.78418,0.8255,0.41903,1.024,0.000445567,0.000445567,0.000445567
123,3760.1,0.62172,0.39243,0.93028,0.95596,0.94858,0.97697,0.78858,0.83412,0.41369,1.02412,0.000440067,0.000440067,0.000440067
124,3790.7,0.62282,0.40202,0.93242,0.95769,0.93567,0.96751,0.77878,0.82941,0.44134,1.02035,0.000434568,0.000434568,0.000434568
125,3821.14,0.62391,0.39379,0.93156,0.95801,0.93541,0.97285,0.78843,0.81846,0.42209,1.01197,0.000429068,0.000429068,0.000429068
126,3851.67,0.62007,0.39545,0.92996,0.96155,0.95049,0.97406,0.78521,0.82205,0.42275,1.02314,0.000423569,0.000423569,0.000423569
127,3882.11,0.61929,0.38608,0.92588,0.94318,0.95688,0.97418,0.78715,0.81574,0.432,1.01501,0.000418069,0.000418069,0.000418069
128,3912.55,0.62182,0.38871,0.92671,0.94437,0.94172,0.9742,0.79029,0.8228,0.43731,1.01624,0.00041257,0.00041257,0.00041257
129,3943.08,0.61897,0.39047,0.93274,0.95183,0.94863,0.97029,0.78343,0.82009,0.43331,1.01871,0.00040707,0.00040707,0.00040707
130,3973.69,0.60875,0.38771,0.92774,0.94996,0.95012,0.97392,0.78998,0.81856,0.43002,1.01526,0.000401571,0.000401571,0.000401571
131,4004.31,0.61747,0.38879,0.93114,0.96702,0.93627,0.97604,0.79365,0.81682,0.42883,1.01278,0.000396071,0.000396071,0.000396071
132,4034.89,0.6062,0.38302,0.92579,0.95354,0.94526,0.97389,0.79404,0.81909,0.42713,1.01146,0.000390572,0.000390572,0.000390572
133,4066.09,0.60625,0.38765,0.92489,0.94685,0.94774,0.97494,0.78973,0.82466,0.42991,1.01551,0.000385073,0.000385073,0.000385073
134,4096.63,0.61136,0.38878,0.92724,0.96233,0.93808,0.97294,0.78715,0.81587,0.41889,1.01394,0.000379573,0.000379573,0.000379573
135,4127.13,0.59832,0.37909,0.91961,0.96116,0.93853,0.97271,0.78944,0.82072,0.41654,1.01646,0.000374074,0.000374074,0.000374074
136,4157.63,0.59155,0.37324,0.92154,0.94854,0.94749,0.97186,0.78734,0.82599,0.42834,1.01691,0.000368574,0.000368574,0.000368574
137,4188.13,0.59924,0.37622,0.92214,0.95995,0.9367,0.97161,0.79049,0.81627,0.41835,1.01143,0.000363075,0.000363075,0.000363075
138,4218.63,0.58975,0.36678,0.91695,0.95736,0.93841,0.9724,0.79225,0.82203,0.42343,1.01146,0.000357575,0.000357575,0.000357575
139,4249.14,0.59447,0.37271,0.91452,0.94087,0.95082,0.97299,0.7874,0.82897,0.4269,1.01909,0.000352076,0.000352076,0.000352076
140,4279.67,0.5873,0.36664,0.91696,0.96276,0.9332,0.97364,0.78786,0.819,0.42847,1.01127,0.000346576,0.000346576,0.000346576
141,4310.26,0.59845,0.37452,0.91967,0.95767,0.93656,0.97333,0.78724,0.83238,0.44497,1.02215,0.000341077,0.000341077,0.000341077
142,4341.04,0.58877,0.36442,0.91646,0.9562,0.94393,0.97088,0.78945,0.83046,0.44115,1.02563,0.000335578,0.000335578,0.000335578
143,4371.62,0.5839,0.36664,0.91684,0.9516,0.952,0.97031,0.78865,0.82275,0.42831,1.01953,0.000330078,0.000330078,0.000330078
144,4402.32,0.57945,0.36676,0.91173,0.96396,0.94217,0.97627,0.79464,0.82546,0.42472,1.01652,0.000324579,0.000324579,0.000324579
145,4432.88,0.58861,0.36603,0.91807,0.96497,0.93578,0.97143,0.7931,0.82276,0.42114,1.00842,0.000319079,0.000319079,0.000319079
146,4463.44,0.58324,0.37201,0.91112,0.95027,0.94463,0.9744,0.79228,0.81866,0.42767,1.0118,0.00031358,0.00031358,0.00031358
147,4493.92,0.58176,0.36857,0.92538,0.9656,0.93699,0.97478,0.79267,0.82545,0.42335,1.01551,0.00030808,0.00030808,0.00030808
148,4524.75,0.57528,0.35477,0.90884,0.96381,0.95099,0.97675,0.7933,0.82797,0.41976,1.02172,0.000302581,0.000302581,0.000302581
